LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CHE,Switzerland,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,45.0,E,Estimated value
TUR,Turkey,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,46.0,E,Estimated value
GBR,United Kingdom,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,57.0,E,Estimated value
USA,United States,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,34.0,E,Estimated value
BRA,Brazil,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,59.0,E,Estimated value
CHL,Chile,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,48.0,E,Estimated value
EST,Estonia,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,35.0,E,Estimated value
ISR,Israel,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,32.0,E,Estimated value
RUS,Russia,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,28.0,E,Estimated value
SVN,Slovenia,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,34.0,E,Estimated value
OECD,OECD - Total,JE_EMPL,Employment rate,L,Value,LW,Low,PC,Percentage,0,units,,,46.0,E,Estimated value
AUS,Australia,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,4.8,,
AUT,Austria,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,3.9,,
BEL,Belgium,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.0,,
CAN,Canada,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,6.4,,
CZE,Czech Republic,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,4.1,,
DNK,Denmark,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.6,,
FIN,Finland,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,6.9,,
FRA,France,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,6.5,,
DEU,Germany,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,3.1,,
GRC,Greece,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,12.2,,
HUN,Hungary,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.7,,
ISL,Iceland,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,4.1,,
IRL,Ireland,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.9,,
ITA,Italy,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.9,,
JPN,Japan,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,2.4,,
KOR,Korea,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,3.2,,
LUX,Luxembourg,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,4.3,,
MEX,Mexico,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,4.9,,
NLD,Netherlands,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,4.5,,
NZL,New Zealand,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.1,,
NOR,Norway,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,3.1,,
POL,Poland,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,7.3,,
PRT,Portugal,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,8.6,,
SVK,Slovak Republic,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.5,,
ESP,Spain,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,17.8,,
SWE,Sweden,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,6.5,,
CHE,Switzerland,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,3.0,,
TUR,Turkey,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,8.1,,
GBR,United Kingdom,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.2,,
USA,United States,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.9,,
BRA,Brazil,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,4.6,E,Estimated value
CHL,Chile,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,4.4,E,Estimated value
EST,Estonia,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.2,,
ISR,Israel,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.0,,
RUS,Russia,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,4.0,,
SVN,Slovenia,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.5,,
OECD,OECD - Total,JE_JT,Job security,L,Value,TOT,Total,PC,Percentage,0,units,,,5.4,,
AUS,Australia,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,4.8,,
AUT,Austria,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,3.9,,
BEL,Belgium,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.1,,
CAN,Canada,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,6.8,,
CZE,Czech Republic,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,3.6,,
DNK,Denmark,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.5,,
FIN,Finland,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,7.3,,
FRA,France,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,6.5,,
DEU,Germany,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,3.2,,
GRC,Greece,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,10.8,,
HUN,Hungary,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.7,,
ISL,Iceland,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,4.3,,
IRL,Ireland,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.8,,
ITA,Italy,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.6,,
JPN,Japan,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,2.2,,
KOR,Korea,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,3.4,,
LUX,Luxembourg,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,4.0,,
MEX,Mexico,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,4.9,,
NLD,Netherlands,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,4.7,,
NZL,New Zealand,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,4.4,,
NOR,Norway,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,3.2,,
POL,Poland,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,6.9,,
PRT,Portugal,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,8.4,,
SVK,Slovak Republic,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.2,,
ESP,Spain,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,17.6,,
SWE,Sweden,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,6.5,,
CHE,Switzerland,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,3.1,,
TUR,Turkey,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,7.6,,
GBR,United Kingdom,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.2,,
USA,United States,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,6.1,,
BRA,Brazil,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,3.9,E,Estimated value
CHL,Chile,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,4.1,E,Estimated value
EST,Estonia,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.3,,
ISR,Israel,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,4.8,,
RUS,Russia,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,4.3,,
SVN,Slovenia,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.0,,
OECD,OECD - Total,JE_JT,Job security,L,Value,MN,Men,PC,Percentage,0,units,,,5.4,,
AUS,Australia,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,4.9,,
AUT,Austria,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,4.0,,
BEL,Belgium,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,4.8,,
CAN,Canada,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.9,,
CZE,Czech Republic,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,4.8,,
DNK,Denmark,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.7,,
FIN,Finland,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,6.6,,
FRA,France,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,6.5,,
DEU,Germany,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,2.9,,
GRC,Greece,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,14.3,,
HUN,Hungary,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.8,,
ISL,Iceland,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,3.9,,
IRL,Ireland,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,6.0,,
ITA,Italy,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,6.4,,
JPN,Japan,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,2.6,,
KOR,Korea,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,2.9,,
LUX,Luxembourg,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,4.7,,
MEX,Mexico,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,4.8,,
NLD,Netherlands,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,4.2,,
NZL,New Zealand,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.8,,
NOR,Norway,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,2.9,,
POL,Poland,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,7.9,,
PRT,Portugal,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,8.9,,
SVK,Slovak Republic,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.9,,
ESP,Spain,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,18.0,,
SWE,Sweden,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,6.5,,
CHE,Switzerland,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,2.9,,
TUR,Turkey,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,9.3,,
GBR,United Kingdom,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.1,,
USA,United States,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.7,,
BRA,Brazil,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.7,E,Estimated value
CHL,Chile,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,4.9,E,Estimated value
EST,Estonia,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.1,,
ISR,Israel,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.2,,
RUS,Russia,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,3.7,,
SVN,Slovenia,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,6.1,,
OECD,OECD - Total,JE_JT,Job security,L,Value,WMN,Women,PC,Percentage,0,units,,,5.4,,
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.08,,
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.19,,
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,3.88,,
CAN,Canada,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,0.9,,
CZE,Czech Republic,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,3.12,,
DNK,Denmark,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.78,,
FIN,Finland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.73,,
FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,3.99,,
DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,2.37,,
GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,18.39,,
HUN,Hungary,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,5.1,,
ISL,Iceland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.18,,
IRL,Ireland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,8.39,,
ITA,Italy,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,6.94,,
JPN,Japan,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.67,,
KOR,Korea,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,0.01,,
LUX,Luxembourg,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.78,,
MEX,Mexico,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,0.08,,
NLD,Netherlands,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,2.4,,
NZL,New Zealand,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,0.75,,
NOR,Norway,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,0.32,,
POL,Poland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,3.77,,
PRT,Portugal,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,9.11,,
SVK,Slovak Republic,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,9.46,,
ESP,Spain,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,12.96,,
SWE,Sweden,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.37,,
CHE,Switzerland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.46,,
TUR,Turkey,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,2.37,,
GBR,United Kingdom,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,2.77,,
USA,United States,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.91,,
BRA,Brazil,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.97,E,Estimated value
CHL,Chile,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.59,E,Estimated value
EST,Estonia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,3.82,,
ISR,Israel,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,0.79,,
RUS,Russia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,1.7,,
SVN,Slovenia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,5.15,,
OECD,OECD - Total,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,units,,,2.79,,
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.14,,
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.24,,
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,4.02,,
CAN,Canada,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,0.97,,
CZE,Czech Republic,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,2.56,,
DNK,Denmark,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.58,,
FIN,Finland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,2.07,,
FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,4.08,,
DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,2.55,,
GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,16.11,,
HUN,Hungary,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,5.17,,
ISL,Iceland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.27,,
IRL,Ireland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,10.65,,
ITA,Italy,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,6.53,,
JPN,Japan,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,2.12,,
KOR,Korea,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,0.02,,
LUX,Luxembourg,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.65,,
MEX,Mexico,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,0.07,,
NLD,Netherlands,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,2.56,,
NZL,New Zealand,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,0.76,,
NOR,Norway,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,0.39,,
POL,Poland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,3.48,,
PRT,Portugal,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,9.21,,
SVK,Slovak Republic,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,9.49,,
ESP,Spain,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,12.53,,
SWE,Sweden,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.53,,
CHE,Switzerland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.28,,
TUR,Turkey,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.79,,
GBR,United Kingdom,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,3.27,,
USA,United States,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,2.02,,
BRA,Brazil,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,2.03,E,Estimated value
CHL,Chile,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.65,E,Estimated value
EST,Estonia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,4.2,,
ISR,Israel,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,0.85,,
RUS,Russia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,1.75,,
SVN,Slovenia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,4.89,,
OECD,OECD - Total,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,units,,,2.79,,
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.010517276,,
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.134177698,,
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,3.713337319,,
CAN,Canada,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,0.824315121,,
CZE,Czech Republic,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,3.848495779,,
DNK,Denmark,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,2.000832569,,
FIN,Finland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.374112987,,
FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,3.895667053,,
DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,2.167391179,,
GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,21.45538744,,
HUN,Hungary,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,5.017594822,,
ISL,Iceland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.084049828,,
IRL,Ireland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,5.609297843,,
ITA,Italy,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,7.504315573,,
JPN,Japan,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.075640541,,
KOR,Korea,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,0.006482082,,
LUX,Luxembourg,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.943470073,,
MEX,Mexico,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,0.086765421,,
NLD,Netherlands,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,2.208210809,,
NZL,New Zealand,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,0.734321524,,
NOR,Norway,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,0.246741031,,
POL,Poland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,4.127639861,,
PRT,Portugal,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,8.984723231,,
SVK,Slovak Republic,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,9.436801229,,
ESP,Spain,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,13.47287476,,
SWE,Sweden,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.180842575,,
CHE,Switzerland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.668367616,,
TUR,Turkey,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,3.686043148,,
GBR,United Kingdom,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,2.212883879,,
USA,United States,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.791424162,,
BRA,Brazil,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.875869653,E,Estimated value
CHL,Chile,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.496420206,E,Estimated value
EST,Estonia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,3.434804239,,
ISR,Israel,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,0.726055894,,
RUS,Russia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,1.636982524,,
SVN,Slovenia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,5.456536043,,
OECD,OECD - Total,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,units,,,2.796370965,,
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,0.61,E,Estimated value
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,0.73,E,Estimated value
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,2.28,E,Estimated value
CAN,Canada,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,0.64,E,Estimated value
CZE,Czech Republic,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,1.27,E,Estimated value
DNK,Denmark,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,1.14,E,Estimated value
FIN,Finland,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,0.93,E,Estimated value
FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,2.39,E,Estimated value
DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,1.1,E,Estimated value
GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,13.85,E,Estimated value
HUN,Hungary,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,2.04,E,Estimated value
ISL,Iceland,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,0.8,E,Estimated value
IRL,Ireland,JE_LTUR,Long-term unemployment rate,L,Value,HGH,High,PC,Percentage,0,units,,,4.42,E,Estimated value
